date,value
2005-01-01,100.0
2005-02-01,101.4
2005-03-01,102.8
2005-04-01,104.4
2005-05-01,105.6
2005-06-01,106.9
2005-07-01,107.9
2005-08-01,108.9
2005-09-01,110.2
2005-10-01,110.9
2005-11-01,111.7
2005-12-01,112.1
2006-01-01,114.2
2006-02-01,116.5
2006-03-01,118.9
2006-04-01,121.6
2006-05-01,124.0
2006-06-01,126.0
2006-07-01,127.3
2006-08-01,128.6
2006-09-01,129.9
2006-10-01,130.3
2006-11-01,130.4
2006-12-01,130.7
2007-01-01,132.6
2007-02-01,135.2
2007-03-01,137.7
2007-04-01,140.2
2007-05-01,142.8
2007-06-01,144.8
2007-07-01,145.8
2007-08-01,146.7
2007-09-01,147.6
2007-10-01,147.9
2007-11-01,147.9
2007-12-01,147.8
2008-01-01,149.1
2008-02-01,150.2
2008-03-01,151.1
2008-04-01,151.5
2008-05-01,151.4
2008-06-01,150.8
2008-07-01,149.3
2008-08-01,148.1
2008-09-01,146.9
2008-10-01,144.3
2008-11-01,141.9
2008-12-01,139.0
2009-01-01,137.9
2009-02-01,137.5
2009-03-01,137.4
2009-04-01,138.8
2009-05-01,140.5
2009-06-01,142.4
2009-07-01,144.0
2009-08-01,145.8
2009-09-01,147.5
2009-10-01,149.0
2009-11-01,150.2
2009-12-01,150.7
2010-01-01,152.4
2010-02-01,154.5
2010-03-01,156.2
2010-04-01,157.3
2010-05-01,157.8
2010-06-01,157.2
2010-07-01,156.3
2010-08-01,155.7
2010-09-01,155.3
2010-10-01,155.2
2010-11-01,155.2
2010-12-01,154.9
2011-01-01,156.6
2011-02-01,159.1
2011-03-01,161.4
2011-04-01,163.3
2011-05-01,165.1
2011-06-01,166.1
2011-07-01,166.7
2011-08-01,167.3
2011-09-01,167.5
2011-10-01,167.6
2011-11-01,167.6
2011-12-01,167.6
2012-01-01,169.0
2012-02-01,171.1
2012-03-01,172.8
2012-04-01,174.4
2012-05-01,174.9
2012-06-01,174.4
2012-07-01,173.6
2012-08-01,172.8
2012-09-01,172.1
2012-10-01,171.3
2012-11-01,170.2
2012-12-01,170.0
2013-01-01,170.3
2013-02-01,172.4
2013-03-01,173.8
2013-04-01,175.2
2013-05-01,175.9
2013-06-01,176.4
2013-07-01,176.6
2013-08-01,176.8
2013-09-01,177.3
2013-10-01,177.5
2013-11-01,177.5
2013-12-01,177.3
2014-01-01,178.8
2014-02-01,181.1
2014-03-01,182.7
2014-04-01,184.3
2014-05-01,185.4
2014-06-01,186.2
2014-07-01,186.1
2014-08-01,186.4
2014-09-01,187.0
2014-10-01,187.2
2014-11-01,187.5
2014-12-01,187.5
2015-01-01,189.0
2015-02-01,191.6
2015-03-01,194.4
2015-04-01,197.0
2015-05-01,199.0
2015-06-01,200.9
2015-07-01,201.9
2015-08-01,203.2
2015-09-01,204.6
2015-10-01,205.4
2015-11-01,206.3
2015-12-01,207.0
2016-01-01,210.6
2016-02-01,216.2
2016-03-01,221.4
2016-04-01,226.8
2016-05-01,231.8
2016-06-01,235.4
2016-07-01,237.4
2016-08-01,238.2
2016-09-01,239.5
2016-10-01,239.3
2016-11-01,239.6
2016-12-01,239.7
2017-01-01,244.6
2017-02-01,253.2
2017-03-01,262.4
2017-04-01,267.1
2017-05-01,266.6
2017-06-01,263.5
2017-07-01,259.3
2017-08-01,256.4
2017-09-01,255.4
2017-10-01,254.8
2017-11-01,254.2
2017-12-01,253.6
2018-01-01,254.5
2018-02-01,256.4
2018-03-01,258.2
2018-04-01,258.5
2018-05-01,257.9
2018-06-01,256.5
2018-07-01,254.8
2018-08-01,253.0
2018-09-01,251.5
2018-10-01,250.3
2018-11-01,247.7
2018-12-01,245.5
2019-01-01,244.7
2019-02-01,245.1
2019-03-01,246.0
2019-04-01,246.6
2019-05-01,246.2
2019-06-01,246.0
2019-07-01,245.5
2019-08-01,245.2
2019-09-01,245.7
2019-10-01,246.3
2019-11-01,246.3
2019-12-01,246.7
2020-01-01,249.7
2020-02-01,254.8
2020-03-01,257.7
2020-04-01,254.7
2020-05-01,255.4
2020-06-01,257.5
2020-07-01,261.7
2020-08-01,266.0
2020-09-01,269.1
2020-10-01,271.2
2020-11-01,273.8
2020-12-01,277.1
2021-01-01,286.1
2021-02-01,299.0
2021-03-01,310.8
2021-04-01,317.2
2021-05-01,320.8
2021-06-01,322.8
2021-07-01,323.0
2021-08-01,325.3
2021-09-01,330.8
2021-10-01,339.4
2021-11-01,347.6
2021-12-01,354.9
2022-01-01,374.1
2022-02-01,392.3
2022-03-01,397.7
2022-04-01,392.2
2022-05-01,384.5
2022-06-01,371.1
2022-07-01,358.5
2022-08-01,348.5
2022-09-01,341.9
2022-10-01,337.0
2022-11-01,332.8
2022-12-01,328.6
2023-01-01,327.2
2023-02-01,330.4
2023-03-01,336.1
2023-04-01,343.9
