date,value
1971-01-01,3.9
1972-01-01,2.7
1973-01-01,2.2
1974-01-01,1.2
1975-01-01,1.2
1976-01-01,1.3
1977-01-01,2.3
1978-01-01,3.2
1979-01-01,2.9
1980-01-01,2.2
1981-01-01,1.2
1982-01-01,2.1
1983-01-01,2.7
1984-01-01,2.2
1985-01-01,1.4
1986-01-01,1.6
1987-01-01,2.5
1988-01-01,2.6
1989-01-01,2.8
1990-01-01,3.3
1991-01-01,4.4
1992-01-01,4.8
1993-01-01,4.8
1994-01-01,4.6
1995-01-01,4.3
1996-01-01,4.3
1997-01-01,4.1
1998-01-01,3.4
1999-01-01,2.6
2000-01-01,1.5
2001-01-01,1.1
2002-01-01,1.7
2003-01-01,2.3
2004-01-01,2.8
2005-01-01,2.8
2006-01-01,2.6
2007-01-01,2.7
2008-01-01,2.2
2009-01-01,2.9
2010-01-01,2.7
2011-01-01,2.2
2012-01-01,2.6
2013-01-01,2.7
2014-01-01,2.7
2015-01-01,3.3
2016-01-01,3.4
2017-01-01,2.7
2018-01-01,2.2
2019-01-01,2.1
2020-01-01,3.4
2021-01-01,3.4
2022-01-01,1.9
